,date,title,dj,categories,featured_image,stream_url,playlist,duration,albums,highlights,id,stats
12,2016-10-28 00:00:00,Vol. 13 如果有不听3776的理由的话・3776 (season 3),mimida,"['NO MUSIC, NO IDOL']",/images/banners/13.jpg,http://www.lizhi.fm/1913563/2564919751230012934,"1. 3776「Introduction」（from 2nd album of season #3「3776を聴かない理由があるとすれば」2015/10/28）
2. 3776「登らない理由があるとすれば」（from 2nd album of season #3「3776を聴かない理由があるとすれば」2015/10/28）
3. 3776「洞窟探検」（from 2nd album of season #3「3776を聴かない理由があるとすれば」2015/10/28
4. 🎙️
5. 3776「春がきた」（from 2nd album of season #3「3776を聴かない理由があるとすれば」2015/10/28
6. 3776「湧玉池便り」（from 2nd album of season #3「3776を聴かない理由があるとすれば」2015/10/28）
7. 🎙️
8. 3776 Extended「僕だけのハッピーエンド」（from single「僕だけのハッピーエンド」2016/06/15）
9. 🎙️
10. 3776と学園祭学園「まぼろし音楽」（from single「まぼろし音楽」2015/09/23）",2824,"* [「3776を聴かない理由があるとすれば」](http://ototoy.jp/_/default/p/56670)
* [「僕だけのハッピーエンド」](http://ototoy.jp/_/default/p/63330)
* [「まぼろし音楽」](http://ototoy.jp/_/default/p/57040)",,2564919751230012934,"{""play"": 1227, ""download"": 71, ""commentCount"": 8}"
13,2016-11-04 00:00:00,Vol. 14 GREAT SONGS TAKE REVENGE,mimida,['songs for a break'],/images/banners/14.jpg,http://www.lizhi.fm/1913563/2566174285405687302,"1. 東京女子流「深海 -Hi-ra Mix-」（from 20th single「深海」2016/08/31）
2. 🎙️
3. クウチュウ戦「白い十代」（live at 新宿dues 2015/12/03）
4. 🎙️
5. cero「Summer Soul」（from 3rd album「Obscure Ride」2015/05/27）
6. 🎙️
7. LUCKY TAPES「体温」（from 3rd single「MOON」2016/01/13）
8. 🎙️
9. 3776「時空ラブレター～アフター大噴火の世界の君へ～」（from 1st album of season #3「ラブレター」2014/12/28）",3009,"* [「深海」](http://ototoy.jp/_/default/a/108323)
* [「Obscure Ride」](http://ototoy.jp/_/default/p/52326)
* [「MOON」](http://ototoy.jp/_/default/p/63774)
* [「ラブレター」](http://ototoy.jp/_/default/p/63329)",,2566174285405687302,"{""play"": 1539, ""download"": 56, ""commentCount"": 14}"
14,2016-11-18 00:00:00,Vol. 15 METAFIVE・平均年龄48岁的新人乐队,minami,['brand new band'],/images/banners/15.jpg,http://www.lizhi.fm/1913563/2568731068473135110,"1. METAFIVE「Don’t Move」（from 1st album「META」2016/01/13）
2. METAFIVE「Maisie’s Avenue」（from 1st album「META」2016/01/13）
3. 🎙️
4. METAFIVE「Musical Chairs」（from 1st EP「METAHALF」2016/11/09）
5. METAFIVE「Submarine」（from 1st EP「METAHALF」2016/11/09）
6. 🎙️
7. 本真綾xコーネリアス「まだうごく」（from Single「あなたを保つもの／まだうごく」2015/6/7）
8. サカナクション「Music (Cornelius Remix)」（from remix album「Constellations Of Music」2015/08/19）
9. 🎙️
10. METAFIVE「Luv U Tokio」（from live album「METALIVE」2016/08/17）",2792,* 相关唱片 amazon.co.jp 或者 Apple Music 日本店应该都有。,,2568731068473135110,"{""play"": 1645, ""download"": 63, ""commentCount"": 9}"
15,2016-11-25 00:00:00,Vol. 16 旋风般破坏，流星般璀璨・BiS -新生IDOL研究会-,stygian,"['NO MUSIC, NO IDOL']",/images/banners/16.jpg,http://www.lizhi.fm/1913563/2570191651557514758,"1. BiS「IDOL」（from 2nd album『IDOL is DEAD』2012/10/24）
2. BiS「Fly」（from 3rd album『WHO KiLLED IDOL?』2014/03/15）
3. 🎙️
4. BiS「BiSBiS」（from 4th album『Brand-New Idol Society 2』2016/11/16）
5. BiS「CHANGE the WORLD」（from 4th album『Brand-New Idol Society 2』2016/11/16）
6. 🎙️
7. BiS「BiS」（from 4th album『Brand-New Idol Society 2』2016/11/16）
8. BiS「太陽のじゅもん」（from 4th album『Brand-New Idol Society 2』2016/11/16）
9. 🎙️
10. BiS「animal」（from 1st single『My Ixxx』2011/08/03）
11. BiS「primal.」（from 3rd single『primal.』2011/12/21）",2924,"* [「IDOL is DEAD」](http://ototoy.jp/_/default/p/30513)
* [「WHO KiLLED IDOL?」](http://ototoy.jp/_/default/p/40888)
* [「Brand-New Idol Society 2」](http://ototoy.jp/_/default/p/68096)
* [「My Ixxx」](http://ototoy.jp/_/default/p/21472)
* [「primal.」](http://ototoy.jp/_/default/p/24262)",,2570191651557514758,"{""play"": 936, ""download"": 53, ""commentCount"": 5}"
16,2016-12-02 00:00:00,Vol. 17 清龙人25・赶在♡一夫多妻制♡偶像组合解散之前,mimida,"['NO MUSIC, NO IDOL']",/images/banners/17.jpg,http://www.lizhi.fm/1913563/2571000207068722182,"1. 清竜人25「Will♡You♡Marry♡Me?」（from 1st album『PROPOSE』2015/09/02）
2. 清竜人25「Mr. Play Boy...♡」（from 1st album『PROPOSE』2015/09/02）
3. 🎙️
4. 清竜人 × 清咲乃「キネマトグラフを♡」（from duet EP『DUET』2016/04/01）
5. 清竜人 × 清桃花「アカシック♡レコード」（from duet EP『DUET』2016/04/01）
6. 🎙️
7. 清竜人25「Christmas♡Symphony」（from single『Christmas♡Symphony』2015/12/02）
8. 清竜人25「Call♡Me♡Baby」（from 1st album『PROPOSE』2015/09/02）
9. 🎙️
10. 清竜人 × 清亜美「I Love Youはあなただけ♡」（from duet EP『DUET』2016/04/01）
11. 清竜人 × 清美咲「まるで嘘のように…♡」（from duet EP『DUET』2016/04/01）",2526,"* [「PROPOSE」](http://ototoy.jp/_/default/p/55281)
* [「DUET」](http://ototoy.jp/_/default/p/61679/)
* [「Christmas♡Symphony」](http://ototoy.jp/_/default/p/58135/)",,2571000207068722182,"{""play"": 1108, ""download"": 44, ""commentCount"": 1}"
17,2016-12-09 00:00:00,Vol. 18 私立惠比寿中学・唱片公司没敢选的 Ebichu BEST,mimida,"['NO MUSIC, NO IDOL']",/images/banners/18.jpg,http://www.lizhi.fm/1913563/2572660731619576838,"1. 私立恵比寿中学「私立恵比寿中学の日常 (Prologue)：二乗の事情」（from 2nd album『金八』2015/01/28）
2. 私立恵比寿中学「テブラデスキー ～青春リバティ～」（from 2nd album『金八』2015/01/28）
3. 私立恵比寿中学「キングオブ学芸会のテーマ ～Nu Skool Teenage Riot～」（from 2nd album『金八』2015/01/28）
4. 🎙️
5. 私立恵比寿中学「ゼッテーアナーキー」（from 3rd album『穴空』2016/04/20）
6. 私立恵比寿中学「面皰」（from 3rd album『穴空』2016/04/20）
7. 🎙️
8. 私立恵比寿中学「中人DANCE MUSIC」（from 1st album『中人』2013/07/24 ）
9. 私立恵比寿中学「買い物しようと町田へ」（from 2nd album『金八』2015/01/28）
10. 🎙️
11. 私立恵比寿中学「幸せの貼り紙はいつも背中に」（from 2nd album『金八』2015/01/28）
12. 私立恵比寿中学「参枚目のタフガキ」（from 3rd album『穴空』2016/04/20）",2868,"* [「中人」](http://www.sonymusic.co.jp/Music/Info/ebichu/ebichunin/)
* [「金八」](http://www.kinpachi.net/)
* [「穴空」](http://www.sonymusic.co.jp/Music/Info/ebichu/anarchy/)
* 相关唱片 amazon.co.jp 或者 Apple Music 日本店应该都有。",,2572660731619576838,"{""play"": 3305, ""download"": 65, ""commentCount"": 8}"
18,2016-12-16 00:00:00,Vol. 19-1 我们来听新唱片！！！,mimida,['NEW releases'],/images/banners/19-1.jpg,https://www.lizhi.fm/1913563/2573900538354813446,"1. 水曜日のカンパネラ「アラジン」（from major 1st single「SUPERKID」2016/11/01）
2. sora tob sakana「タイムマシンにさよなら」（from sora tob sakana's SoundCloud 2016/10/16）
3. 🎙️
4. CHICO CARLITO「Orion's belt ft. RITTO」（from 1st album「Carlito's Way」2016/12/07）
5. ACE「come on! feat. 般若, ZEEBRA」（from 2nd album「LIGHT DOWN」2016/12/07）
6. 🎙️
7. KOHH「Mitsuoka」（from online single「Mitsuoka」2016/12/13）
8. サ上と中江「さいごの宿題（川辺ヒロシREMIX）」（from 2nd album「夢見心地」2016/11/30）
9. 🎙️
10. テンテンコ 「Good bye, Good girl.」（from 1st mini-album「工業製品」2016/12/14）",2352,"* [「SUPERKID」](http://ototoy.jp/_/default/p/67496)
* [「Carlito's Way」](http://ototoy.jp/_/default/p/69021)
* [「LIGHT DOWN」](http://ototoy.jp/_/default/p/69023)
* [「Mitsuoka」](http://mora.jp/package/43000074/TCJPR0000343502（需挂日本代理，教程见之前几期节目介绍里的链接）)
* [「夢見心地」](http://mora.jp/package/43000002/AVCD-93511)
* [「工業製品」](http://ototoy.jp/_/default/p/69065)
* [「歳時記·第一巻」](http://ototoy.jp/_/default/p/68339)
* [「中卒」](http://mora.jp/package/43000001/4547366286274)
* [「Return To My Innocence」](http://ototoy.jp/_/default/p/60721)
* [「river (cloudy irony)」](http://ototoy.jp/_/default/p/68506)
* [「Avalon」](http://ototoy.jp/_/default/p/66872)
* [「街の報せ」](http://ototoy.jp/_/default/p/68361)",,2573900538354813446,"{""play"": 1138, ""download"": 56, ""commentCount"": 9}"
19,2016-12-16 00:00:00,Vol. 19-2 我们来听新唱片！！！,mimida,['NEW releases'],/images/banners/19-2.jpg,http://www.lizhi.fm/1913563/2573898143910512134,"1. 3776「正月はええもんだ」（from EP「歳時記・第一巻」2016/11/24）
2. 私立恵比寿中学「梅（中卒ver.）」（from best collection「中卒」2016/11/16）
3. 🎙️
4. ようなぴ「été」（from 1st solo single「Return To My Innocence」2015/11/09）
5. Maison book girl「karma」（from 1st major single「river (cloudy irony)」2016/11/30）
6. 🎙️
7. テンテンコ 「流氷のこども」（from 1st mini-album「工業製品」2016/12/14）
8. amiinA「lilla」（from 1st album「Avalon」2016/10/26）
9. 🎙️
10. cero「ロープウェー」（from 3rd single「街の報せ」2016/12/07）",2262,"* [「歳時記・第一巻」](http://ototoy.jp/_/default/p/68339)
* [「中卒」](http://mora.jp/package/43000001/4547366286274)
* [「Return To My Innocence」](http://ototoy.jp/_/default/p/60721)
* [「river (cloudy irony)」](http://ototoy.jp/_/default/p/68506)
* [「工業製品」](http://ototoy.jp/_/default/p/69065)
* [「Avalon」](http://ototoy.jp/_/default/p/66872)
* [「街の報せ」](http://ototoy.jp/_/default/p/68361)",,2573898143910512134,"{""play"": 625, ""download"": 50, ""commentCount"": 4}"
20,2016-12-30 00:00:00,Vol. 20-1 二十一世纪日音怪奇生命体・星期三的康帕内拉（上）,minami,['brand new band'],/images/banners/20-1.jpg,http://www.lizhi.fm/1913563/2576536415618402822,"1. 水曜日のカンパネラ「ナポレオン」（from 1st EP「トライアスロン」2015/04/15）
2. 水曜日のカンパネラ「千利休」（from 4th album「私を鬼ヶ島に連れてって」2014/11/5）
3. 🎙️
4. 水曜日のカンパネラ「猪八戒」（from 5th album「ジパング」2015/11/11
5. 水曜日のカンパネラ「ツイッギー」（from 5th album「ジパング」2015/11/11）
6. 水曜日のカンパネラ「雪男イエティ」（from 1st major EP「UMA」 2016/6/22）
7. 🎙️
8. 水曜日のカンパネラ「ディアブロ」（from 1st EP「トライアスロン」2015/04/15）
9. 水曜日のカンパネラ「名無しの権兵衛」（from 1st album「クロールと逆上がり」2013/05/15）
10. 🎙️
11. 水曜日のカンパネラ「めぐる季節」（from cover album「安眠豆腐」2016/08/17）",2568,"* [「クロールと逆上がり」](http://ototoy.jp/_/default/p/40780)
* [「安眠豆腐」](http://ototoy.jp/_/default/p/43613)
* [「私を鬼ヶ島に連れてって」](http://ototoy.jp/_/default/p/46162)
* [「トライアスロン」](http://ototoy.jp/_/default/p/50353)
* [「ジパング」](http://ototoy.jp/_/default/p/56848)
* [「UMA」](http://ototoy.jp/_/default/p/63514)",,2576536415618402822,"{""play"": 3744, ""download"": 78, ""commentCount"": 5}"
21,2017-01-27 00:00:00,Vol. 21-1 偶像乐曲大奖2016・独立/地方偶像篇,mimida,"['NO MUSIC, NO IDOL']",/images/banners/21-1.jpg,http://www.lizhi.fm/1913563/2581563228161845766,"1. まねきケチャ「きみわずらい」（from 1st single「きみわずらい／妄想桜」2016/04/26）
2. 🎙️
3. sora tob sakana「広告の街」（from 2nd single「魔法の言葉」2016/02/16）
4. 🎙️
5. アイドルネッサンス「君の知らない物語」（from 6th single「君の知らない物語」2016/07/26）
6. 🎙️
7. sora tob sakana「魔法の言葉」（from 2nd single「魔法の言葉」2016/02/16）
8. アイドルネッサンス「Funny Bunny」（from 5th single「Funny Bunny」 2015/12/22）
9. 🎙️
10. (secret track）
11. sora tob sakana「夏の扉」（from 1st album「sora tob sakana」2016/07/26）
12. アップアップガールズ(仮)「パーリーピーポーエイリアン」（from 20th single「パーリーピーポーエイリアン／セブン☆ピース」2016/04/05）
13. 🎙️
14. Negicco「矛盾、はじめました。」（from 20th single「矛盾、はじめました。」2016/03/29）
15. 虹のコンキスタドール「限りなく冒険に近いサマー」（from 6th single「限りなく冒険に近いサマー」2016/09/20）
16. 🎙️
17. アイドルネッサンス「トラベラーズ・ハイ」（from 6th single「君の知らない物語」2016/07/26）
18. アップアップガールズ(仮)「君という仮説」（from 21st album「!!!!!!!!／君という仮説」2016/10/11）",5173,"* [「きみわずらい / 妄想桜」](http://mora.jp/package/43000074/TCJPR0000306756/)
* [「魔法の言葉」](http://ototoy.jp/_/default/p/59863)
* [「君の知らない物語」](http://ototoy.jp/_/default/p/64466)
* [「Funny Bunny」](http://ototoy.jp/_/default/p/67420)
* [「sora tob sakana」](http://ototoy.jp/_/default/p/64673)
* [「パーリーピーポーエイリアン/セブン☆ピース」](http://mora.jp/package/43000030/TPRC-0148/)
* [「矛盾、はじめました。」](http://ototoy.jp/_/default/p/61318)
* [「限りなく冒険に近いサマー」](http://ototoy.jp/_/default/p/65706)
* [「！！！！！！！！/君という仮説」](http://mora.jp/package/43000030/TPRC-0162/)
* [secret track/中场隐藏曲目](https://www.weibo.com/subjpop/)",,2581563228161845766,"{""play"": 1193, ""download"": 68, ""commentCount"": 11}"
